experiment,filename,n_peptides,n_activated,beta0,beta0_se,beta1,beta1_se,condition
190722,190722d1 memory CD69 Pos.csv,8,7,3.2945979123142055,4.958636830747195,-0.6543427840623706,1.9745651412488479,memory
190807,190807d1 memory CD69 Pos.csv,8,6,3.8999130974592013,4.536151827950257,-1.3529927995416087,1.8149957096877962,memory
190812,190812d4 memory CD69 Pos.csv,8,7,3.2945979123142055,4.958636830747195,-0.6543427840623706,1.9745651412488479,memory
191019,191019d1 memory CD69 Pos.csv,8,7,3.2945979123142055,4.958636830747195,-0.6543427840623706,1.9745651412488479,memory
191022,191022d1 memory CD69 Pos.csv,8,7,3.2945979123142055,4.958636830747195,-0.6543427840623706,1.9745651412488479,memory
191027,191027d1 memory CD69 Pos.csv,8,7,3.2945979123142055,4.958636830747195,-0.6543427840623706,1.9745651412488479,memory
190708,190708d3 naive CD69 Pos.csv,8,7,4.2327372199039655,5.624675496164178,-1.0824701335817475,2.1328979875971084,naive
190715,190715d1 naive CD69 Pos.csv,8,8,17.86994380181836,inf,5.799283472780122,inf,naive
190715,190715d2 naive CD69 Pos.csv,8,5,427.53140612955104,13.218421746419342,-182.49134852619812,5.511256655854124,naive
190715,190715d4 naive CD69 Pos.csv,8,7,3.2945979123142055,4.958636830747195,-0.6543427840623706,1.9745651412488479,naive
190807,190807d2 naive CD69 Pos.csv,8,7,4.2327372199039655,5.624675496164178,-1.0824701335817475,2.1328979875971084,naive
190816,190816d8 naive CD69 Pos.csv,8,8,17.86994380181836,inf,5.799283472780122,inf,naive
