condition,experiment,file,threshold,n_peptides,peptides,alpha,alpha_se,C,log_C,r_squared
memory,190722,190722d1 memory CD69 Pos.csv,40,7,"9V, 6V, 3Y, 6T, 4D, 5Y, 5F",2.348854585893376,0.4349166572236896,1.4470877702280496e-06,-5.839505126814823,0.85366238680388
memory,190807,190807d1 memory CD69 Pos.csv,40,7,"9V, 6V, 3Y, 6T, 4D, 5Y, 5F",1.112322857070651,0.12973175384794752,3.8941312686971915e-05,-4.409589412777478,0.9363169658683235
memory,190812,190812d4 memory CD69 Pos.csv,40,7,"9V, 6V, 3Y, 6T, 4D, 5Y, 5F",1.9132512821379517,0.4444592728126538,2.5752145704364135e-05,-4.589186579098836,0.7875071121914854
memory,191019,191019d1 memory CD69 Pos.csv,40,7,"9V, 6V, 3Y, 6T, 4D, 5Y, 5F",2.067794395469722,0.32464591751853705,3.2403287581589953e-06,-5.489410924789965,0.8902764016524318
memory,191022,191022d1 memory CD69 Pos.csv,40,7,"9V, 6V, 3Y, 6T, 4D, 5Y, 5F",2.22129790610301,0.4536084494321106,2.6348997738553786e-06,-5.5792358998022475,0.8274679313401472
memory,191027,191027d1 memory CD69 Pos.csv,40,7,"9V, 6V, 3Y, 6T, 4D, 5Y, 5F",1.7319286807879073,0.23850174072537814,1.4988793018583371e-05,-4.824233337563569,0.9133934037546386
naive,190708,190708d3 naive CD69 Pos.csv,40,4,"9V, 6V, 3Y, 6T",1.006302574955667,0.2707630354822759,0.00047888227262209566,-3.319771239476291,0.8735193478957654
naive,190715,190715d1 naive CD69 Pos.csv,40,7,"9V, 6V, 3Y, 6T, 4D, 4A, 5Y",2.101734809168013,0.7825432090675432,5.1831718805267345e-06,-5.28540438916807,0.5906131239662902
naive,190715,190715d2 naive CD69 Pos.csv,40,5,"9V, 6V, 3Y, 6T, 4D",1.4207085988807995,0.48769941919984283,0.00032810500471440256,-3.4839871450992566,0.7388135841553178
naive,190715,190715d4 naive CD69 Pos.csv,40,6,"9V, 6V, 3Y, 6T, 4D, 5Y",1.5531879164673235,0.4381937712737563,9.566947591177e-05,-4.0192266051452465,0.7585072376373422
naive,190807,190807d2 naive CD69 Pos.csv,40,5,"9V, 6V, 3Y, 6T, 4D",1.0880812236487942,0.13585525999304934,0.00025369104008288624,-3.5956948710174332,0.9553212536880017
naive,190816,190816d8 naive CD69 Pos.csv,40,8,"9V, 6V, 3Y, 6T, 4D, 4A, 5Y, 5F",1.0997438003542828,0.4784429273585127,1.9351987686344267e-06,-5.713274420987353,0.46825070096691
